# The following table is mechanically generated from CLDR.
# Don't add anything to this, except to bring new ISO 4217 codes when
# CLDR is updated.
# See: http://sites/intl-eng/update/iii.
# Generated from CLDR supplementalData.xml revision 6610
TJ;TJS;20001026;-
TJ;TJR;19950510;20001025
TJ;RUR;19911225;19950510
TK;NZD;19670710;-
TL;USD;19991020;-
TL;TPE;19590102;20020520
TL;IDR;19751207;20020520
TM;TMT;20090101;-
TM;TMM;19931101;20090101
TM;RUR;19911225;19931101
TM;SUR;19610101;19911225
TN;TND;19581101;-
TO;TOP;19660214;-
TP;TPE;19590102;20020520
TP;IDR;19751207;20020520
TR;TRY;20050101;-
TR;TRL;19221101;20051231
TT;TTD;19640101;-
TV;AUD;19660214;-
TW;TWD;19490615;-
TZ;TZS;19660614;-
UA;UAH;19960902;-
UA;UAK;19921113;19931017
UA;RUR;19911225;19921113
UA;SUR;19610101;19911225
UG;UGX;19870515;-
UG;UGS;19660815;19870515
UM;USD;19440101;-
US;USD;17920101;-
UY;UYU;19930301;-
UY;UYP;19750701;19930301
UZ;UZS;19940701;-
VA;EUR;19990101;-
VA;ITL;18701019;20020228
VC;XCD;19651006;-
VE;VEF;20080101;-
VE;VEB;18710511;20080630
VG;USD;18330101;-
VG;GBP;18330101;19590101
VI;USD;18370101;-
VN;VND;19850914;-
VN;VNN;19780503;19850914
VU;VUV;19810101;-
WF;XPF;19610730;-
WS;WST;19670710;-
YE;YER;19900522;-
YD;YDD;19650401;19960101
YT;EUR;19990101;-
YT;FRF;19760223;20020217
YT;KMF;19750101;19760223
YU;YUM;19940124;20020515
YU;YUN;19900101;19920724
YU;YUD;19660101;19900101
ZA;ZAR;19610214;-
ZM;ZMK;19680116;-
ZR;ZRN;19931101;19980701
ZR;ZRZ;19711027;19931101
ZW;USD;20090412;-
ZW;ZWL;20090202;20090412
ZW;ZWR;20080801;20090202
ZW;ZWD;19800418;20080801
ZW;RHD;19700217;19800418
ZZ;XXX;-;-
