# Copyright 2008 Google Inc. All rights reserved.
# This file was machine-generated, do not edit.
# This file is encoded in UTF-8, do not reencode.
# ICU4J version 4.0.0.0
# Generated on 2008-10-01 12:41:27 with com.google.i18n.identifiers.impl.tools.BuildLanguageNameTables by dougfelt
x-bork;x-bork;Bork, bork, bork!
bo;ar;التبتية
bm;ar;البامبارا
bg;ar;البلغارية
bh;ar;البيهارية
bi;ar;البيسلامية
be;ar;البيلوروسية
bnt;ar;البانتو
da;ar;الدانماركية
ang;ar;الانجليزية القديمة
nds;ar;الألمانية السفلى
mdf;ar;الموكشا
fat;ar;الفانتى
dak;ar;الداكوتا
cy;ar;الولزية
cv;ar;التشفاش
fan;ar;الفانج
cu;ar;سلافية كنسية
gez;ar;الجيز
cs;ar;التشيكية
mdr;ar;الماندار
cr;ar;الكرى
dar;ar;الدارجوا
co;ar;الكورسيكية
jbo;ar;اللوجبان
day;ar;الدياك
ch;ar;التشامورو
sco;ar;الأسكتلندية
gem;ar;الجرمانية (أخرى)‏
ce;ar;الشيشانية
scn;ar;الصقلية
nap;ar;اللغة النابولية
es_419;ar;الأسبانية (أمريكا اللاتينية و الكاريبي)‏
rap;ar;الرابانى
rar;ar;الراروتونجانى
nah;ar;الناهيوتل
nai;ar;الهندية الأمريكية الشمالية - أخرى
lad;ar;الاسباعبرية
lah;ar;اللاهندا
pau;ar;البالوان
alt;ar;الألطائية الجنوبية
lam;ar;اللامبا
men;ar;الميند
en_AU;ar;الانجليزية (أستراليا)‏
en_CA;ar;الانجليزية (كندا)‏
alg;ar;اللغات الأمريكية الهندية
az;ar;الأذرية
paa;ar;الغينية - أخرى
ay;ar;الأيمارا
ba;ar;الباشكيرية
pag;ar;البانجاسينان
ale;ar;الأليوتية
as;ar;الأسامية
pal;ar;البهلوية
ar;ar;العربية
pap;ar;البابيامينتو
av;ar;الأفاريكية
pam;ar;البامبانجا
ak;ar;الأكانية
raj;ar;الراجاسثانية
yap;ar;اليابيز
am;ar;الأمهرية
an;ar;الأراجونية
yao;ar;الياو
aa;ar;الأفارية
zap;ar;الزابوتيك
ab;ar;الأبخازية
vai;ar;الفاى
sem;ar;السامية - أخرى
akk;ar;الأكادية
sel;ar;السيلكب
ae;ar;الأفستية
af;ar;الأفريقية
nr;ar;النديبيل الجنوبى
krc;ar;الكاراتشاى-بالكار
no;ar;النرويجية
nn;ar;النينورسك النرويجي
gba;ar;الجبيا
ny;ar;النيانجا، التشيتشوا، التشوا
nv;ar;النافاجو
pt_PT;ar;البرتغالية (البرتغال)‏
oc;ar;الأوكيتانية
lui;ar;اللوسينو
kut;ar;الكتيناى
luo;ar;اللو
lun;ar;اللوندا
om;ar;الأورومو
lus;ar;اللشاى
phn;ar;الفينيقية
kum;ar;الكميك
oj;ar;الأوجيبوا
phi;ar;الفليبينية - أخرى
ban;ar;اللغة البالية
os;ar;الأوسيتيك
bal;ar;البلوشية
bai;ar;اللغات الباميليكية
rom;ar;الرومانية [rom]
or;ar;الأورييا
son;ar;السونجهاى
bad;ar;الباندا
ijo;ar;الايجو
kro;ar;الكرو
roa;ar;الرومانسية - أخرى
sog;ar;السوجدين
pa;ar;البنجابية
gay;ar;الجايو
pl;ar;البولندية
bat;ar;البلطيقية - أخرى
bas;ar;الباسا
pi;ar;البالية
lo;ar;اللاوية
ln;ar;اللينجالا
lv;ar;اللاتفية
lu;ar;اللبا-كاتانجا
lt;ar;اللتوانية
srn;ar;السرانان تونجو
kos;ar;الكوسراين
kok;ar;الكونكانية
mg;ar;المالاجاشية
mh;ar;المارشالية
mk;ar;المقدونية
ml;ar;الماليالام
mi;ar;الماورية
mn;ar;المنغولية
mo;ar;المولدوفية
mr;ar;الماراثى
mt;ar;المالطية
sr_Latn;ar;الصربية (اللاتينية)‏
ms;ar;لغة الملايو
my;ar;البورمية
na;ar;النورو
peo;ar;الفارسية القديمة
nb;ar;البوكمالية النرويجية
nd;ar;النديبيل الشمالى
ne;ar;النيبالية
znd;ar;الزاند
cus;ar;الكشيتيك - أخرى
ng;ar;الندونجا
jpr;ar;الجيدو الفارسى
kpe;ar;الكبيل
nl;ar;الهولندية
nyn;ar;النيانكول
nym;ar;النيامويزى
jv;ar;الجاوية
myv;ar;اللغة الارزية
nyo;ar;النيورو
afh;ar;الأفريهيلية
him;ar;الهيماتشالى
hil;ar;الهيليجينون
myn;ar;لغات المايا
kj;ar;الكيونياما
tvl;ar;التوفالو
ki;ar;الكيكيو
kmb;ar;الكيمبندو
kg;ar;الكونغو
inc;ar;الهندية - أخرى
hit;ar;الحثية
ka;ar;الجورجية
sla;ar;السلافية - أخرى
nzi;ar;النزيما
bej;ar;البيجا
kw;ar;الكورنية
ky;ar;القيرغستانية
ks;ar;الكاشميرية
ku;ar;الكردية
ckb;ar;السورانية الكردية
kv;ar;الكومى
ber;ar;البربرية
ko;ar;الكورية
ine;ar;الهندية الأوروبية - أخرى
inh;ar;الانجوشية
tut;ar;الألطائية - أخرى
kr;ar;الكانيورى
kk;ar;الكازاخستانية
bem;ar;البيمبا
kl;ar;الكالاليست
km;ar;الخميرية
kn;ar;الكانادا
li;ar;الليمبرجيشية
tum;ar;التامبوكا
tup;ar;اللغات التوبية
afa;ar;لغة أفرو آسيوية
lg;ar;الجاندا
la;ar;اللاتينية
lb;ar;اللوكسمبرجية
hr;ar;الكرواتية
mwr;ar;الماروارى
wal;ar;الوالامو
ht;ar;الهايتية
wak;ar;لغات الواكاشان
snk;ar;السونينك
hu;ar;الهنغارية
bho;ar;البهوجبرية
xal;ar;الكالميك
mwl;ar;الميرانديز
hi;ar;الهندية
ho;ar;الهيرى موتو
war;ar;الواراى
was;ar;الواشو
id;ar;الأندونيسية
ia;ar;اللّغة الوسيطة
ig;ar;الايجبو
ie;ar;الانترلينج
hz;ar;الهيريرو
hy;ar;الأرمينية
ady;ar;الأديجه
smn;ar;الاينارى سامى
ilo;ar;الايلوكو
is;ar;الأيسلاندية
it;ar;الايطالية
iu;ar;الاينكتيتت
smj;ar;اللول سامى
ii;ar;السيتشيون يى
ach;ar;الأكولية
ik;ar;الاينبياك
sms;ar;السكولت سامى
ace;ar;الأتشينيزية
io;ar;الايدو
ada;ar;الأدانجمية
sma;ar;السامي الجنوبى
smi;ar;اللغات السامية - أخرى
dyu;ar;الدايلا
ja;ar;اليابانية
pon;ar;البوهنبيايان
moh;ar;الموهوك
wo;ar;الولوف
cmc;ar;اللغات التشاميكية
wa;ar;الولونية
loz;ar;اللوزى
vi;ar;الفيتنامية
syr;ar;السريانية
tsi;ar;التسيمشيان
rup;ar;الأرومانيان
nwc;ar;النوارية التقليدية
uz;ar;الاوزباكية
ve;ar;الفيندا
fur;ar;الفريلايان
uk;ar;الأوكرانية
ug;ar;الأغورية
ewo;ar;الايوندو
ur;ar;الأردية
ty;ar;التاهيتية
tt;ar;التتارية
tw;ar;التوى
hmn;ar;الهمونجية
gmh;ar;الألمانية العليا الوسطى
doi;ar;الدوجرى
to;ar;تونجا - جزر تونجا
tmh;ar;التاماشيك
tn;ar;التسوانية
nub;ar;اللغات النوبية
tl;ar;التاغالوغية
ts;ar;السونجا
tr;ar;التركية
cop;ar;قبطية
ssa;ar;النيلية الصحراوية - أخرى
tg;ar;الطاجيكية
te;ar;التيلجو
tk;ar;التركمانية
ti;ar;التيجرينيا
th;ar;التايلاندية
ta;ar;التاميلية
su;ar;السودانية
sv;ar;السويدية
ss;ar;السواتى
cpf;ar;الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب على أساس الفرنسية
cpe;ar;الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب على أساس الأنجليزية
lua;ar;اللبا-لؤلؤ
sw;ar;السواحلية
sl;ar;السلوفانية
sk;ar;السلوفاكية
sn;ar;الشونا
sm;ar;الساموائية
cpp;ar;الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب على أساس البرتغالية
so;ar;الصومالية
sr;ar;الصربية
sq;ar;الألبانية
sd;ar;السيندى
ota;ar;التركية العثمانية
sc;ar;السردينية
se;ar;السامي الشمالى
sh;ar;الصربية
sg;ar;السانجو
si;ar;السريلانكية
goh;ar;الألمانية العليا القديمة
dum;ar;الهولندية الوسطى
nso;ar;السوتو الشمالية
sa;ar;السنسكريتية
zun;ar;الزونية
gon;ar;الجندى
gor;ar;الجورونتالو
ru;ar;الروسية
got;ar;القوطية
dua;ar;الديولا
rw;ar;الكينيارواندا
car;ar;الكاريبية
ro;ar;الرومانية
ypk;ar;اللغات اليوبيكية
cau;ar;القوقازية - أخرى
rn;ar;الرندى
rm;ar;الرهايتو-رومانس
tog;ar;تونجا - نياسا
en_US;ar;الانجليزية (الولايات المتحدة الأمريكية)‏
iro;ar;اللغات الايروكويانية
pra;ar;اللغات البراقريطية
suk;ar;السوكوما
hsb;ar;الصربية العليا
sus;ar;السوسو
cad;ar;الكادو
sux;ar;السومارية
zxx;ar;بدون محتوى لغوي
dra;ar;الدرافيدين - أخرى
qu;ar;الكويتشوا
es_ES;ar;الأسبانية (أسبانيا)‏
cai;ar;الهندية الأمريكية الوسطى - أخرى
crh;ar;تركى كريمين، لغة توركية كريمينية
grb;ar;الجريبو
mus;ar;الكريك
tpi;ar;التوك بيسين
crp;ar;الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب - أخرى
grc;ar;اليونانية القديمة
mul;ar;اللغات المتعددة
mun;ar;لغات المندا
frm;ar;الفرنسية الوسطى
fro;ar;الفرنسية القديمة
ira;ar;الايرانية
frs;ar;الفريزينية الشرقية
frr;ar;الفريزينية الشمالية
csb;ar;الكاشبايان
pro;ar;البروفانسية القديمة
pt;ar;البرتغالية
dsb;ar;الصربية السفلى
jrb;ar;الجيدو العربى
ps;ar;البشتونية
tai;ar;تاى - أخرى
sad;ar;السانداوى
tig;ar;التيجر
fon;ar;الفون
sah;ar;الياكت
sai;ar;الهندية الأمريكية الجنوبية - أخرى
sal;ar;لغات ساليشان
sam;ar;الآرامية السومارية
kbd;ar;الكاباردايان
umb;ar;الأمبندو
en_GB;ar;الانجليزية (المملكة المتحدة)‏
arc;ar;الآرامية
arp;ar;الأراباهو
dgr;ar;الدوجريب
arn;ar;الأروكانية
bra;ar;البراجية
kaw;ar;الكوى
gsw;ar;الألمانية السويسرية
arw;ar;الأراواكية
kar;ar;الكاريين
nog;ar;النوجاى
art;ar;الصناعية - أخرى
kam;ar;الكامبا
non;ar;النورس القديم
mga;ar;الأيرلندية الوسطى
und;ar;غير محدده
elx;ar;الامايت
kac;ar;الكاتشين
kab;ar;القبيلية
kaa;ar;الكارا-كالباك
sat;ar;السانتالى
sas;ar;الساساك
tiv;ar;التيف
tkl;ar;التوكيلاو
pt_BR;ar;البرتغالية (البرازيل)‏
apa;ar;اللغات الأباتشية
osa;ar;الأوساج
btk;ar;الباتاكية
cel;ar;السلتية - أخرى
del;ar;الديلوير
lez;ar;الليزجهايانية
ceb;ar;السيبيونو
min;ar;المينانجكاباو
hup;ar;الهبا
tli;ar;التلينغيتية
enm;ar;الانجليزية الوسطى
bua;ar;البرياتية
tlh;ar;الكلينجون
mis;ar;اللغات المتنوعة
mic;ar;الميكماكيونية
bug;ar;البجينيزية
tem;ar;التيمن
sit_NP;ar;الصينية التيبتية - أخرى (نيبال)‏
chb;ar;التشيبشا
egy;ar;المصرية القديمة
de_AT;ar;الألمانية (النمسا)‏
awa;ar;الأوادية
chy;ar;الشايان
chg;ar;التشاجاتاى
chk;ar;التشكيزية
mkh;ar;المون خمير- أخرى
cho;ar;الشوكتو
chp;ar;الشيباوايان
chn;ar;الشينوك جارجون
tet;ar;التيتم
ter;ar;التيرينو
chr;ar;الشيروكى
zh;ar;الصينية
fil;ar;الفلبينية
ast;ar;الأسترية
za;ar;الزهيونج
mni;ar;المانيبرى
din;ar;الدنكا
fiu;ar;فينو أجرايان - أخرى
zu;ar;الزولو
mno;ar;لغات مانوبو
vot;ar;الفوتيك
uga;ar;اليجاريتيك
mnc;ar;المانشو
ath;ar;اللغات الأزباسكانية
nic;ar;النيجر - كوردوفانايان
nia;ar;النياس
byn;ar;البلينية
de_CH;ar;الألمانية (سويسرا)‏
eka;ar;الاكاجك
aus;ar;اللغات الأسترالية
yo;ar;اليوروبية
yi;ar;اليديشية
as;as;অসমীয়া
zh_Hant;az;çincə (qədimi han)
fy;az;frisk dili
gd;az;skot gaelik dili
ga;az;irlandca
shn;az;şan dili
fj;az;fiji dili
ff;az;fula dili
fi;az;fincə
fr;az;fransızca
fo;az;farer dili
zh_Hans;az;çincə (basitləştirilmiş han)
udm;az;udmurt dili
sga;az;qədimi irlandca
he;az;ivritcə
ha;az;Hausa dili
sgn;az;işarət dili
gn;az;quaranicə
gil;az;qilbert gili
gl;az;qalisian dili
ain;az;aynuca
gv;az;manks dili
bik;az;bikolca
gu;az;gujarati dili
iba;az;iban dili
bin;az;bini dili
dv;az;diveh dili
dz;az;dzonqa dili
de;az;almanca
mai;az;maitili dili
fr_CH;az;fransızca (isveçriya)
mak;az;makasar dili
mad;az;maduriz dili
mag;az;maqahi dili
map;az;avstronezicə
fr_CA;az;fransızca (Kanada)
mas;az;masay dili
wen;az;sorb dili
nl_BE;az;hollandca (Belçika)
man;az;məndinqo dili
sid;az;sidamo dili
eu;az;bask dili
khi;az;xoyzan dili
fa;az;farsca
kha;az;xazi dili
bla;az;siksikə dili
sit;az;sino-tibet dili
new;az;nevari dili
ee;az;eve dili
el;az;yunanca
sio;az;sioyan dili
zen;az;zenaqa dili
eo;az;esperanto dili
en;az;ingiliscə
et;az;estonca
kho;az;xotan dili
es;az;ispanca
efi;az;efik dili
ca;az;katalanca
hai;az;hayda dili
root;az;rut dili
haw;az;Qavayca
br;az;Bretonca
zbl;az;blisimbols dili
bn;az;Benqal dili
bo;az;tibet dili
bm;az;bambara dili
anp;az;angikə dili
bg;az;bolqarca
bh;az;biharicə
bi;az;bislama dili
be;az;belarusca
bnt;az;bantu dili
da;az;danimarka dili
ang;az;qədimi ingiliscə
nds;az;aşağı almanca
mdf;az;mokşa dili
fat;az;fanti dili
dak;az;dakota dili
cy;az;uelscə
cv;az;çuvaş dili
fan;az;fang dili
cu;az;kilsə slav dili
gez;az;qez dili
cs;az;çex dili
mdr;az;mandar dili
cr;az;kri dili
dar;az;darqva dili
co;az;korsikan dili
kfo;az;koro dili
jbo;az;loğban dili
day;az;dayak dili
ch;az;çamoro dili
sco;az;skots dili
gem;az;Alman dili
ce;az;çeçen dili
scn;az;sisili dili
nap;az;neapolital dili
es_419;az;ispanca (Latın Amerikası və Kariblər)
rap;az;rapanu dili
kcg;az;tiyap dili
rar;az;rarotonqan dili
nah;az;nahuatl dili
nai;az;şimal amerika yerli dili
lad;az;ladin dili
lah;az;laxnda dili
pau;az;palayanca
alt;az;cənub altay dili
lam;az;lamba dili
men;az;mende dili
en_AU;az;ingiliscə (Avstraliya)
en_CA;az;ingiliscə (Kanada)
alg;az;algonguyan dili
az;az;azərbaycanca
paa;az;papua dili
ay;az;aymarca
ba;az;başkir dili
pag;az;panqasinan dili
ale;az;aleutca
pal;az;paxlavi dili
ar;az;Ərəbcə
pap;az;papyamento dili
av;az;avarikcə
pam;az;pampanqa dili
ak;az;akanca
raj;az;racastan dili
yap;az;yapiz dili
am;az;amarikcə
an;az;aragonca
yao;az;yao dili
aa;az;afarca
zap;az;zapotek dili
ab;az;abxazca
vai;az;vay dili
sem;az;ivrit dili
akk;az;akadianca
sel;az;selkup dili
ae;az;avestanca
af;az;Afrikaanca
nr;az;cənub ndebele dili
krc;az;qaraçay-balkar dili
no;az;norveç dili
nn;az;norveç ninorsk dili
gba;az;qabaya dili
ny;az;nyanca dili
nv;az;navayo dili
pt_PT;az;portuqalca (Portuqal)
oc;az;oksitanca
lui;az;luyseno dili
kut;az;kutenay dili
luo;az;luo dili
lun;az;lunda dili
om;az;oromo dili
lus;az;lushayca
phn;az;foyenik dili
kum;az;kumuk dili
oj;az;ocibva dili
phi;az;filipin dili
tyv;az;tuvinyan dili
ban;az;balincə
os;az;osetik dili
bal;az;baluc dili
bai;az;bamilek dili
rom;az;roman dili
or;az;Oriyə dili
son;az;sonqay dili
bad;az;banda dili
ijo;az;ico dili
gaa;az;qa dili
kro;az;kru dili
sog;az;soqdiyen dili
pa;az;puncab dili
gay;az;qayo dili
kru;az;kurux dili
pl;az;Polish dili
bat;az;baltik dili
bas;az;basa dili
krl;az;karelyan dili
pi;az;pali dili
lo;az;laos dili
ln;az;Linqala dili
lv;az;latışca
lu;az;luba-katanqa dili
lt;az;litva dili
srr;az;serer dilii
srn;az;sranan tonqo dili
kos;az;kosreyan dili
kok;az;konkan dili
mg;az;malaqas dili
mh;az;marşal dili
mk;az;makedoniya dili
ml;az;malayalamca
mi;az;maori dili
mn;az;monqolca
mo;az;moldavca
mr;az;marati dili
mt;az;malta dili
sr_Latn;az;serb dili (latın)
ms;az;malayca
my;az;burmis dili
na;az;nauru dili
peo;az;qədimi farsca
nb;az;norvec bokmal dili
nd;az;şimal ndebele dili
ne;az;nepalca
znd;az;zande dili
cus;az;kuşitik dili
ng;az;nqonka dili
jpr;az;judo-farsca
kpe;az;kpelle dili
nl;az;hollandca
nyn;az;nyankol dili
nym;az;nyamvezi dili
jv;az;yavaca dili
myv;az;erzya dili
nyo;az;niyoro dili
afh;az;afrihili dili
him;az;himaçali dili
hil;az;hiliqaynon dili
myn;az;maya dili
kj;az;kuanyama dili
tvl;az;tuvalu dili
ki;az;kikuyu dili
kmb;az;kimbundu dili
kg;az;konqo dili
inc;az;diqər hint dili
hit;az;hittit dili
ka;az;gürcü dili
sla;az;slav dili
nzi;az;nizima dili
bej;az;beja dili
kw;az;korniş dili
ky;az;qırğızca
ks;az;kəşmir dili
ku;az;kürdcə
kv;az;komi dili
ber;az;berber dili
ko;az;koreya dili
ine;az;hint-yevropa dili
inh;az;inquş dili
tut;az;altaik dili
kr;az;kanur dili
kk;az;qazax dili
bem;az;bemba dili
kl;az;kalalisut dili
km;az;kambodiya dili
kn;az;kannada dili
li;az;limburqiş dili
tum;az;tumbuka dili
tup;az;tupi dili
afa;az;afro-aziat dili
lg;az;qanda dili
la;az;latınca
lb;az;luksemburq dili
hr;az;xorvatca
mwr;az;maruari dili
wal;az;valamo dili
